species	import_date	sample_id	plate_number	count	run	biol_repl	tech_repl	drug	concentration	control	NT_code	rare_species	rel_abundance	rel_to_standard_abundance	AUC	maxOD	finalOD	absolute_abundance
Akkermansia muciniphila	11042019	E12LM1847	2	3	LM1847	1	2	Niclosamide	20	FALSE	NT5021	TRUE	1.6317650258362796e-4	0.002997002997002997	0.8924257464392866	1.029296875	1.029296875	1.6795706418275768e-4
Bacteroides fragilis	11042019	E12LM1847	2	258	LM1847	1	2	Niclosamide	20	FALSE	NT5003	FALSE	0.014033179222192004	0.25774225774225773	0.8924257464392866	1.029296875	1.029296875	0.01444430751971716
Bacteroides thetaiotaomicron	11042019	E12LM1847	2	1908	LM1847	1	2	Niclosamide	20	FALSE	NT5004	FALSE	0.10378025564318738	1.906093906093906	0.8924257464392866	1.029296875	1.029296875	0.10682069282023389
Bacteroides uniformis	11042019	E12LM1847	2	902	LM1847	1	2	Niclosamide	20	FALSE	NT5002	FALSE	0.04906173511014414	0.901098901098901	0.8924257464392866	1.029296875	1.029296875	0.050499090630949144
Bifidobacterium adolescentis	11042019	E12LM1847	2	0	LM1847	1	2	Niclosamide	20	FALSE	NT5022	TRUE	0	0	0.8924257464392866	1.029296875	1.029296875	0
Bifidobacterium longum subsp. longum	11042019	E12LM1847	2	1	LM1847	1	2	Niclosamide	20	FALSE	NT5028	TRUE	5.439216752787599e-5	9.99000999000999e-4	0.8924257464392866	1.029296875	1.029296875	5.598568806091923e-5
Bilophila wadsworthia	11042019	E12LM1847	2	8	LM1847	1	2	Niclosamide	20	FALSE	NT5036	TRUE	4.351373402230079e-4	0.007992007992007992	0.8924257464392866	1.029296875	1.029296875	4.4788550448735383e-4
Blautia obeum	11042019	E12LM1847	2	5	LM1847	1	2	Niclosamide	20	FALSE	NT5069	TRUE	2.719608376393799e-4	0.004995004995004994	0.8924257464392866	1.029296875	1.029296875	2.7992844030459615e-4
Clostridium perfringens	11042019	E12LM1847	2	2453	LM1847	1	2	Niclosamide	20	FALSE	NT5032	FALSE	0.13342398694587979	2.4505494505494503	0.8924257464392866	1.029296875	1.029296875	0.13733289281343486
Collinsella aerofaciens	11042019	E12LM1847	2	4	LM1847	1	2	Niclosamide	20	FALSE	NT5073	FALSE	2.1756867011150395e-4	0.003996003996003996	0.8924257464392866	1.029296875	1.029296875	2.2394275224367691e-4
Coprococcus comes	11042019	E12LM1847	2	56	LM1847	1	2	Niclosamide	20	FALSE	NT5048	FALSE	0.003045961381561055	0.05594405594405594	0.8924257464392866	1.029296875	1.029296875	0.0031351985314114765
Dorea formicigenerans	11042019	E12LM1847	2	7	LM1847	1	2	Niclosamide	20	FALSE	NT5076	FALSE	3.807451726951319e-4	0.006993006993006992	0.8924257464392866	1.029296875	1.029296875	0.00039189981642643456
Eggerthella lenta	11042019	E12LM1847	2	244	LM1847	1	2	Niclosamide	20	FALSE	NT5024	FALSE	0.01327168887680174	0.24375624375624375	0.8924257464392866	1.029296875	1.029296875	0.013660507886864293
Escherichia coli ED1a	11042019	E12LM1847	2	5557	LM1847	1	2	Niclosamide	20	FALSE	NT5078	FALSE	0.30225727495240684	5.5514485514485505	0.8924257464392866	1.029296875	1.029296875	0.3111124685545281
Eubacterium rectale	11042019	E12LM1847	2	1298	LM1847	1	2	Niclosamide	20	FALSE	NT5009	FALSE	0.07060103345118303	1.2967032967032965	0.8924257464392866	1.029296875	1.029296875	0.07266942310307316
Fusobacterium nucleatum subsp. nucleatum	11042019	E12LM1847	2	2334	LM1847	1	2	Niclosamide	20	FALSE	NT5025	FALSE	0.12695131901006254	2.3316683316683315	0.8924257464392866	1.029296875	1.029296875	0.13067059593418548
Odoribacter splanchnicus	11042019	E12LM1847	2	0	LM1847	1	2	Niclosamide	20	FALSE	NT5081	TRUE	0	0	0.8924257464392866	1.029296875	1.029296875	0
Parabacteroides distasonis	11042019	E12LM1847	2	3	LM1847	1	2	Niclosamide	20	FALSE	NT5074	TRUE	1.6317650258362796e-4	0.002997002997002997	0.8924257464392866	1.029296875	1.029296875	1.6795706418275768e-4
Parabacteroides merdae	11042019	E12LM1847	2	342	LM1847	1	2	Niclosamide	20	FALSE	NT5071	FALSE	0.018602121294533588	0.34165834165834164	0.8924257464392866	1.029296875	1.029296875	0.019147105316834376
