strain	supernatant	conc	drug	well	tech_repl	biol_repl	plate_number	experiment_number	AUC	maxOD	finalOD
B. thetaiotaomicron	B. vulgatus	0	nifurtimox	C4	tech1	biol2	plate3	189	1.0091295116772823	0.99528672427337	0.99528672427337
B. thetaiotaomicron	B. vulgatus	0	nifurtimox	D4	tech2	biol2	plate3	189	0.9908704883227175	0.9732914375490966	0.9732914375490966
B. thetaiotaomicron	B. vulgatus	20	nifurtimox	C5	tech1	biol2	plate3	189	0.0042462845010615745	0.01021209740769836	7.855459544383353e-4
B. thetaiotaomicron	B. vulgatus	20	nifurtimox	D5	tech2	biol2	plate3	189	0.006369426751592361	-7.855459544383353e-4	-7.855459544383353e-4
B. thetaiotaomicron	B. vulgatus	40	nifurtimox	C6	tech1	biol2	plate3	189	0.0036093418259023403	-0.005498821681068348	-0.007069913589945019
B. thetaiotaomicron	B. vulgatus	40	nifurtimox	D6	tech2	biol2	plate3	189	0.012738853503184724	0.013354281225451702	7.855459544383353e-4
B. thetaiotaomicron	C. comes	0	nifurtimox	C4	tech1	biol1	plate5	187	1.000144362638949	1.0907534246575343	1.0907534246575343
B. thetaiotaomicron	C. comes	0	nifurtimox	C4	tech1	biol2	plate4	189	0.9911275047353205	1.0807248764415158	1.0807248764415158
B. thetaiotaomicron	C. comes	0	nifurtimox	D4	tech2	biol1	plate5	187	0.999855637361051	1.101027397260274	1.101027397260274
B. thetaiotaomicron	C. comes	0	nifurtimox	D4	tech2	biol2	plate4	189	1.0088724952646795	1.0955518945634268	1.0955518945634268
B. thetaiotaomicron	C. comes	20	nifurtimox	C5	tech1	biol1	plate5	187	0.006929406669553924	-0.006849315068493157	-0.010273972602739736
B. thetaiotaomicron	C. comes	20	nifurtimox	C5	tech1	biol2	plate4	189	0.008174658558468755	0	0
B. thetaiotaomicron	C. comes	20	nifurtimox	D5	tech2	biol1	plate5	187	0.008373033059044325	-0.0034246575342465786	-0.008561643835616447
B. thetaiotaomicron	C. comes	20	nifurtimox	D5	tech2	biol2	plate4	189	0.0031901106569634163	0.0032948929159802337	0.0032948929159802337
B. thetaiotaomicron	C. comes	40	nifurtimox	C6	tech1	biol1	plate5	187	0	-0.006849315068493157	-0.006849315068493157
B. thetaiotaomicron	C. comes	40	nifurtimox	C6	tech1	biol2	plate4	189	0.0053833117336257634	0.004942339373970351	-0.0065897858319604674
