Sensitive_Strain	Supernatant	Concentration	Tech_repl	Biol_repl	Plate_number	control	AUC	normAUC	fConcentration
B. thetaiotamicron	B. vulgatus	0	tech1	biol1	plate7	TRUE	15.010143702451396	0.9912797912746211	0
B. thetaiotamicron	B. vulgatus	0	tech1	biol2	plate7	TRUE	13.582417582417584	1.0188884587184979	0
B. thetaiotamicron	B. vulgatus	0	tech1	biol3	plate4	TRUE	15.533389687235843	1.0117755148568641	0
B. thetaiotamicron	B. vulgatus	0	tech2	biol1	plate7	TRUE	15.339814032121726	1.0130514373070085	0
B. thetaiotamicron	B. vulgatus	0	tech2	biol2	plate7	TRUE	13.272189349112427	0.9956166100534686	0
B. thetaiotamicron	B. vulgatus	0	tech2	biol3	plate4	TRUE	15.77852916314455	1.027742803674261	0
B. thetaiotamicron	B. vulgatus	5	tech1	biol1	plate7	FALSE	0.08114961961115816	0.005359174407972277	5
B. thetaiotamicron	B. vulgatus	5	tech1	biol2	plate7	FALSE	1.285714285714286	0.09644817934471218	5
B. thetaiotamicron	B. vulgatus	5	tech1	biol3	plate4	FALSE	-0.09467455621301768	-0.006166677060512008	5
B. thetaiotamicron	B. vulgatus	5	tech2	biol1	plate7	FALSE	-0.09467455621301786	-0.006252370142634324	5
B. thetaiotamicron	B. vulgatus	5	tech2	biol2	plate7	FALSE	1.2240067624683013	0.09181917402442027	5
B. thetaiotamicron	B. vulgatus	5	tech2	biol3	plate4	FALSE	-0.15046491969568865	-0.009800611756885146	5
B. thetaiotamicron	B. vulgatus	10	tech1	biol1	plate7	FALSE	0.7692307692307695	0.050800507408903836	10
B. thetaiotamicron	B. vulgatus	10	tech1	biol2	plate7	FALSE	-0.24260355029585776	-0.0181989661222435	10
B. thetaiotamicron	B. vulgatus	10	tech1	biol3	plate4	FALSE	-0.1344040574809804	-0.00875447904126258	10
B. thetaiotamicron	B. vulgatus	10	tech2	biol1	plate7	FALSE	0.06086221470836862	0.004019380805979207	10
B. thetaiotamicron	B. vulgatus	10	tech2	biol2	plate7	FALSE	0.0016906170752324597	1.2682206356964124e-4	10
B. thetaiotamicron	B. vulgatus	10	tech2	biol3	plate4	FALSE	-0.10397295012679632	-0.0067723328432408745	10
B. thetaiotamicron	B. vulgatus pempty	0	tech1	biol1	plate7	TRUE	15.038056680161946	0.9931231827349073	0
B. thetaiotamicron	B. vulgatus pempty	0	tech1	biol2	plate7	TRUE	13.379757085020245	1.0036858307192233	0
B. thetaiotamicron	B. vulgatus pempty	0	tech1	biol3	plate4	TRUE	15.185425101214577	0.9891106583598356	0
B. thetaiotamicron	B. vulgatus pempty	0	tech2	biol1	plate7	TRUE	14.977327935222673	0.9891126163605201	0
B. thetaiotamicron	B. vulgatus pempty	0	tech2	biol2	plate7	TRUE	13.237246963562754	0.9929953982448476	0
B. thetaiotamicron	B. vulgatus pempty	0	tech2	biol3	plate4	TRUE	15.540890688259111	1.012264096507429	0
B. thetaiotamicron	B. vulgatus pempty	5	tech1	biol1	plate8	FALSE	-0.07044534412955474	-0.004652256994289092	5
B. thetaiotamicron	B. vulgatus pempty	5	tech1	biol2	plate8	FALSE	-0.10202429149797546	-0.007653377794155277	5
B. thetaiotamicron	B. vulgatus pempty	5	tech1	biol3	plate5	FALSE	0.1983805668016195	0.012921622656401822	5
B. thetaiotamicron	B. vulgatus pempty	5	tech2	biol1	plate8	FALSE	-0.03886639676113365	-0.0025667624796077747	5
B. thetaiotamicron	B. vulgatus pempty	5	tech2	biol2	plate8	FALSE	0.009716599190283682	7.288931232529066e-4	5
B. thetaiotamicron	B. vulgatus pempty	5	tech2	biol3	plate5	FALSE	-0.026720647773279257	-0.0017404634598418712	5
B. thetaiotamicron	B. vulgatus pempty	10	tech1	biol1	plate8	FALSE	-0.11012145748987866	-0.0072724936922220285	10
B. thetaiotamicron	B. vulgatus pempty	10	tech1	biol2	plate8	FALSE	-0.21619433198380544	-0.016217871992376683	10
B. thetaiotamicron	B. vulgatus pempty	10	tech1	biol3	plate5	FALSE	-0.16194331983805657	-0.010548263392981068	10
B. thetaiotamicron	B. vulgatus pempty	10	tech2	biol1	plate8	FALSE	-0.1295546558704454	-0.008555874932025911	10
B. thetaiotamicron	B. vulgatus pempty	10	tech2	biol2	plate8	FALSE	-0.21214574898785396	-0.015914166524354643	10
B. thetaiotamicron	B. vulgatus pempty	10	tech2	biol3	plate5	FALSE	-0.1400809716599191	-0.009124247834928633	10
B. thetaiotamicron	B. vulgatus pSG62#2	0	tech1	biol1	plate8	TRUE	15.867510548523208	1.0479008633354465	0
B. thetaiotamicron	B. vulgatus pSG62#2	0	tech1	biol2	plate8	TRUE	13.401687763713083	1.0053309660772263	0
B. thetaiotamicron	B. vulgatus pSG62#2	0	tech1	biol3	plate5	TRUE	16.152742616033755	1.0521173939334925	0
B. thetaiotamicron	B. vulgatus pSG62#2	0	tech2	biol1	plate8	TRUE	15.725738396624473	1.0385381369066662	0
