NT_code	species_name	drug	conc	control	AUC
NT5001	Phocaeicola vulgatus	Acarbose	5	FALSE	0.7836348826183698
NT5001	Phocaeicola vulgatus	Acarbose	20	FALSE	0.614638701336015
NT5001	Phocaeicola vulgatus	Acarbose	80	FALSE	0.5395451871134909
NT5001	Phocaeicola vulgatus	Amlodipine	20	FALSE	0.9701070791195716
NT5001	Phocaeicola vulgatus	Amlodipine	80	FALSE	0.010343341473926154
NT5001	Phocaeicola vulgatus	Amlodipine	160	FALSE	0.012210889240051715
NT5001	Phocaeicola vulgatus	Aprepitant	5	FALSE	0.15228265184597062
NT5001	Phocaeicola vulgatus	Aprepitant	20	FALSE	0.004759071980963685
NT5001	Phocaeicola vulgatus	Aprepitant	30	FALSE	0.0038323521399509447
NT5001	Phocaeicola vulgatus	Aripiprazole	5	FALSE	0.9481252002921756
NT5001	Phocaeicola vulgatus	Aripiprazole	20	FALSE	0.8713713788296396
NT5001	Phocaeicola vulgatus	Aripiprazole	80	FALSE	0.01765882596399249
NT5001	Phocaeicola vulgatus	Azithromycin	2.5	FALSE	0.036903279853805974
NT5001	Phocaeicola vulgatus	Azithromycin	20	FALSE	0.00698689956331878
NT5001	Phocaeicola vulgatus	Azithromycin	50	FALSE	0.00648410015865352
NT5001	Phocaeicola vulgatus	Chlorpromazine	5	FALSE	0.22086630602070306
NT5001	Phocaeicola vulgatus	Chlorpromazine	20	FALSE	0.01731026235116387
NT5001	Phocaeicola vulgatus	Chlorpromazine	80	FALSE	9.797746518300568e-4
NT5001	Phocaeicola vulgatus	Ciprofloxacin	20	FALSE	0.6611479028697573
NT5001	Phocaeicola vulgatus	Ciprofloxacin	80	FALSE	0.00830140678093441
NT5001	Phocaeicola vulgatus	Ciprofloxacin	320	FALSE	0.0047589054517461
NT5001	Phocaeicola vulgatus	Clomiphene	5	FALSE	0.986978959904724
NT5001	Phocaeicola vulgatus	Clomiphene	20	FALSE	0.8226550486929782
NT5001	Phocaeicola vulgatus	Clomiphene	80	FALSE	0.00254930900308597
NT5001	Phocaeicola vulgatus	DMSO	0	TRUE	1
NT5001	Phocaeicola vulgatus	Diacerein	20	FALSE	0.4217311313257789
NT5001	Phocaeicola vulgatus	Diacerein	80	FALSE	0.20606675271989672
NT5001	Phocaeicola vulgatus	Diacerein	320	FALSE	0.018953148525374205
NT5001	Phocaeicola vulgatus	Dienestrol	5	FALSE	0.7858886560887994
NT5001	Phocaeicola vulgatus	Dienestrol	20	FALSE	0.013070834336547429
NT5001	Phocaeicola vulgatus	Dienestrol	80	FALSE	0.005251488651976265
NT5001	Phocaeicola vulgatus	Doxycycline	0.5	FALSE	0.0045623517070384045
NT5001	Phocaeicola vulgatus	Doxycycline	2.5	FALSE	0.005300629751886296
NT5001	Phocaeicola vulgatus	Doxycycline	20	FALSE	0.00429357305782902
NT5001	Phocaeicola vulgatus	Ebselen	1.25	FALSE	1.0172275318115278
NT5001	Phocaeicola vulgatus	Ebselen	5	FALSE	0.8850394022145662
NT5001	Phocaeicola vulgatus	Ebselen	20	FALSE	0.8674715684880542
NT5001	Phocaeicola vulgatus	Entacapone	5	FALSE	0.9940035273368604
NT5001	Phocaeicola vulgatus	Entacapone	20	FALSE	0.5953671759487432
NT5001	Phocaeicola vulgatus	Entacapone	80	FALSE	0.0096927879086578
NT5001	Phocaeicola vulgatus	Felodipine	5	FALSE	1.0029275660837242
NT5001	Phocaeicola vulgatus	Felodipine	20	FALSE	0.7938726948245092
NT5001	Phocaeicola vulgatus	Felodipine	80	FALSE	0.01114382778396334
NT5001	Phocaeicola vulgatus	Ketoconazole	5	FALSE	1.0087619696719847
NT5001	Phocaeicola vulgatus	Ketoconazole	20	FALSE	0.8871203814259487
NT5001	Phocaeicola vulgatus	Ketoconazole	80	FALSE	0.4968652037617555
NT5001	Phocaeicola vulgatus	Lansoprazole	5	FALSE	0.98086542278682
NT5001	Phocaeicola vulgatus	Lansoprazole	20	FALSE	0.9448355121390606
NT5001	Phocaeicola vulgatus	Lansoprazole	80	FALSE	0.7046367287331143
NT5001	Phocaeicola vulgatus	Loratadine	5	FALSE	0.9895947426067906
NT5001	Phocaeicola vulgatus	Loratadine	20	FALSE	0.9433989369343484
NT5001	Phocaeicola vulgatus	Loratadine	80	FALSE	0.5115325474115838
NT5001	Phocaeicola vulgatus	Loxapine	5	FALSE	0.7913098878033191
NT5001	Phocaeicola vulgatus	Loxapine	20	FALSE	0.47836443032949577
NT5001	Phocaeicola vulgatus	Loxapine	80	FALSE	0.05534371000590463
NT5001	Phocaeicola vulgatus	MGAM	0	TRUE	1
NT5001	Phocaeicola vulgatus	Mecillinam	0.5	FALSE	0.998289708506841
NT5001	Phocaeicola vulgatus	Mecillinam	2.5	FALSE	1.0043361715547146
NT5001	Phocaeicola vulgatus	Mecillinam	20	FALSE	0.9679297499625359
NT5001	Phocaeicola vulgatus	Mefloquine	5	FALSE	1.0045573510446126
NT5001	Phocaeicola vulgatus	Mefloquine	20	FALSE	0.4350089232599643
NT5001	Phocaeicola vulgatus	Mefloquine	60	FALSE	0.00743562048230785
NT5001	Phocaeicola vulgatus	Methotrexate	5	FALSE	0.9469410280668562
NT5001	Phocaeicola vulgatus	Methotrexate	20	FALSE	0.7142602215712923
NT5001	Phocaeicola vulgatus	Methotrexate	80	FALSE	0.023150521100290367
NT5001	Phocaeicola vulgatus	Niclosamide	0	TRUE	1
NT5001	Phocaeicola vulgatus	Niclosamide	0.08	FALSE	0.9515118983718018
NT5001	Phocaeicola vulgatus	Niclosamide	0.16	FALSE	0.9085704061549472
NT5001	Phocaeicola vulgatus	Niclosamide	0.32	FALSE	0.7792118396145242
NT5001	Phocaeicola vulgatus	Niclosamide	0.625	FALSE	0.49132224011451064
NT5001	Phocaeicola vulgatus	Niclosamide	1.25	FALSE	0.07568438003220605
NT5001	Phocaeicola vulgatus	Niclosamide	2.5	FALSE	0.00447307210592232
NT5001	Phocaeicola vulgatus	Niclosamide	5	FALSE	0.00662014671676508
NT5001	Phocaeicola vulgatus	Niclosamide	10	FALSE	0.00499053519187747
NT5001	Phocaeicola vulgatus	Niclosamide	20	FALSE	0.00583412172816147
NT5001	Phocaeicola vulgatus	Niclosamide	40	FALSE	0.00764600618187734
NT5001	Phocaeicola vulgatus	Niclosamide	80	FALSE	0.02411612315359603
NT5001	Phocaeicola vulgatus	Niclosamide	160	FALSE	0.04822214696918391
NT5001	Phocaeicola vulgatus	Nifurtimox	2.5	FALSE	0.9009130607383882
NT5001	Phocaeicola vulgatus	Nifurtimox	20	FALSE	0.08154029376736802
NT5001	Phocaeicola vulgatus	Nifurtimox	35	FALSE	0.010584562405276055
NT5001	Phocaeicola vulgatus	Olanzapine	5	FALSE	0.977167809065312
NT5001	Phocaeicola vulgatus	Olanzapine	20	FALSE	0.9555321020544556
NT5001	Phocaeicola vulgatus	Olanzapine	80	FALSE	0.9756535110199898
NT5001	Phocaeicola vulgatus	Omeprazole	5	FALSE	0.9824367565730368
NT5001	Phocaeicola vulgatus	Omeprazole	20	FALSE	0.9805996472663138
NT5001	Phocaeicola vulgatus	Omeprazole	80	FALSE	0.8874779541446205
NT5001	Phocaeicola vulgatus	Oxolinic acid	0.5	FALSE	1.0691472058045939
NT5001	Phocaeicola vulgatus	Oxolinic acid	2.5	FALSE	1.031845221999892
NT5001	Phocaeicola vulgatus	Oxolinic acid	20	FALSE	1.042295996687311
NT5001	Phocaeicola vulgatus	Sertindole	5	FALSE	0.9671430918350584
NT5001	Phocaeicola vulgatus	Sertindole	20	FALSE	0.820436996878594
NT5001	Phocaeicola vulgatus	Sertindole	80	FALSE	0.28322654838179734
NT5001	Phocaeicola vulgatus	Simvastatin	5	FALSE	0.983262151137376
NT5001	Phocaeicola vulgatus	Simvastatin	20	FALSE	0.4525670060563356
NT5001	Phocaeicola vulgatus	Simvastatin	80	FALSE	0.0066233189878023
NT5001	Phocaeicola vulgatus	Tamoxifen	20	FALSE	0.024464604402141536
NT5001	Phocaeicola vulgatus	Tamoxifen	80	FALSE	0.00319259318381355
NT5001	Phocaeicola vulgatus	Tamoxifen	320	FALSE	0.02654927192685403
NT5001	Phocaeicola vulgatus	beta-estradiol 17-valerate	5	FALSE	0.862477154588837
NT5001	Phocaeicola vulgatus	beta-estradiol 17-valerate	20	FALSE	0.0069310051578692355
NT5001	Phocaeicola vulgatus	beta-estradiol 17-valerate	80	FALSE	0.00876310874874294
NT5002	Bacteroides uniformis	Acarbose	5	FALSE	0.9007060996049012
NT5002	Bacteroides uniformis	Acarbose	20	FALSE	0.8127446104996285
NT5002	Bacteroides uniformis	Acarbose	80	FALSE	0.7288490336598179
NT5002	Bacteroides uniformis	Amlodipine	20	FALSE	0.9087192364276286
NT5002	Bacteroides uniformis	Amlodipine	80	FALSE	0.006850852644877645
NT5002	Bacteroides uniformis	Amlodipine	160	FALSE	0.014796528077875834
NT5002	Bacteroides uniformis	Aprepitant	5	FALSE	0.9701975127951178
NT5002	Bacteroides uniformis	Aprepitant	20	FALSE	0.7336537329881953
NT5002	Bacteroides uniformis	Aprepitant	30	FALSE	0.00810500738063881
NT5002	Bacteroides uniformis	Aripiprazole	5	FALSE	0.9167155672806873
NT5002	Bacteroides uniformis	Aripiprazole	20	FALSE	0.7593132964057028
NT5002	Bacteroides uniformis	Aripiprazole	80	FALSE	0.0191829484902309
NT5002	Bacteroides uniformis	Azithromycin	2.5	FALSE	0.021406303486793336
NT5002	Bacteroides uniformis	Azithromycin	20	FALSE	0.01361420807888398
NT5002	Bacteroides uniformis	Azithromycin	50	FALSE	0.01005624680415886
NT5002	Bacteroides uniformis	Chlorpromazine	5	FALSE	0.4823566679552618
NT5002	Bacteroides uniformis	Chlorpromazine	20	FALSE	0.016464320205023482
