flavor	drug	concentration	run	tech_repl	hit	category	result	expected	n	n_total	fraction	n_repl
absolute	Acarbose	5	LM1844	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	18	20	0.9	6
absolute	Acarbose	5	LM1844	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	2	20	0.1	6
absolute	Acarbose	5	LM1844	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	1	1	1	6
absolute	Acarbose	5	LM1844	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	18	20	0.9	6
absolute	Acarbose	5	LM1844	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	2	20	0.1	6
absolute	Acarbose	5	LM1844	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	1	1	1	6
absolute	Acarbose	5	LM1847	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	17	20	0.85	6
absolute	Acarbose	5	LM1847	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	3	20	0.15	6
absolute	Acarbose	5	LM1847	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	1	1	1	6
absolute	Acarbose	5	LM1847	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	17	20	0.85	6
absolute	Acarbose	5	LM1847	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	3	20	0.15	6
absolute	Acarbose	5	LM1847	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	1	1	1	6
absolute	Acarbose	5	LM1857	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	17	20	0.85	6
absolute	Acarbose	5	LM1857	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	3	20	0.15	6
absolute	Acarbose	5	LM1857	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	1	1	1	6
absolute	Acarbose	5	LM1857	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	17	20	0.85	6
absolute	Acarbose	5	LM1857	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	3	20	0.15	6
absolute	Acarbose	5	LM1857	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	1	1	1	6
absolute	Acarbose	20	LM1844	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	13	16	0.8125	6
absolute	Acarbose	20	LM1844	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	3	16	0.1875	6
absolute	Acarbose	20	LM1844	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	2	5	0.4	6
absolute	Acarbose	20	LM1844	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	3	5	0.6	6
