id	drug	concentration	community	technical_replicate	sample_type	plate_number	time_point	area_drug	IS	area_is	IS_count	y	time
MZ006A_Sertindole_8000_C1_tech1_WC_P1_t0_POS.d	Sertindole	80	C1	tech1	WC	P1	t0	3500585	area_is_warfarin	1727776	43	0.910089670303915	0
MZ006A_Sertindole_8000_C1_tech2_WC_P1_t0_POS.d	Sertindole	80	C1	tech2	WC	P1	t0	4058195	area_is_warfarin	1672527	43	1.0899103296960848	0
MZ006A_Sertindole_8000_C2_tech1_WC_P1_t0_POS.d	Sertindole	80	C2	tech1	WC	P1	t0	3363145	area_is_warfarin	1639649	43	1.1683172667101696	0
MZ006A_Sertindole_8000_C2_tech2_WC_P1_t0_POS.d	Sertindole	80	C2	tech2	WC	P1	t0	2136539	area_is_warfarin	1494148	43	0.814485390224814	0
MZ006A_Amlodipine_8000_C1_tech1_WC_P1_t0_POS.d	Amlodipine	80	C1	tech1	WC	P1	t0	1896649	area_is_caffeine	217434	44	1.025805298638269	0
MZ006A_Amlodipine_8000_C1_tech2_WC_P1_t0_POS.d	Amlodipine	80	C1	tech2	WC	P1	t0	1575510	area_is_caffeine	190187	44	0.9741947013617311	0
MZ006A_Amlodipine_8000_C2_tech1_WC_P1_t0_POS.d	Amlodipine	80	C2	tech1	WC	P1	t0	1523947	area_is_caffeine	172851	44	0.9995786209468315	0
MZ006A_Amlodipine_8000_C2_tech2_WC_P1_t0_POS.d	Amlodipine	80	C2	tech2	WC	P1	t0	1371442	area_is_caffeine	157200	44	0.9891084127044295	0
MZ006A_Entacapone_8000_C1_tech1_WC_P1_t0_POS.d	Entacapone	80	C1	tech1	WC	P1	t0	1291276	area_is_caffeine	202955	44	1.0191727169882776	0
MZ006A_Entacapone_8000_C1_tech2_WC_P1_t0_POS.d	Entacapone	80	C1	tech2	WC	P1	t0	1121329	area_is_caffeine	183134	44	0.9808272830117224	0
MZ006A_Entacapone_8000_C2_tech1_WC_P1_t0_POS.d	Entacapone	80	C2	tech1	WC	P1	t0	825423	area_is_caffeine	162105	44	0.9919402983304858	0
MZ006A_Entacapone_8000_C2_tech2_WC_P1_t0_POS.d	Entacapone	80	C2	tech2	WC	P1	t0	800306	area_is_caffeine	154659	44	1.008059701669514	0
MZ006A_Felodipine_8000_C1_tech1_WC_P1_t0_POS.d	Felodipine	80	C1	tech1	WC	P1	t0	107990	area_is_caffeine	216379	43	1	0
MZ006A_Felodipine_8000_C2_tech1_WC_P1_t0_POS.d	Felodipine	80	C2	tech1	WC	P1	t0	93766	area_is_caffeine	156838	43	0.9107719187557847	0
MZ006A_Felodipine_8000_C2_tech2_WC_P1_t0_POS.d	Felodipine	80	C2	tech2	WC	P1	t0	116856	area_is_caffeine	163436	43	1.0892280812442152	0
MZ006A_Ketoconazole_8000_C1_tech1_WC_P1_t0_POS.d	Ketoconazole	80	C1	tech1	WC	P1	t0	2147868	area_is_caffeine	200104	44	1.0685846683155737	0
MZ006A_Ketoconazole_8000_C1_tech2_WC_P1_t0_POS.d	Ketoconazole	80	C1	tech2	WC	P1	t0	1838325	area_is_caffeine	196488	44	0.931415331684426	0
MZ006A_Ketoconazole_8000_C2_tech1_WC_P1_t0_POS.d	Ketoconazole	80	C2	tech1	WC	P1	t0	2293106	area_is_caffeine	166811	44	1.103237689308222	0
MZ006A_Ketoconazole_8000_C2_tech2_WC_P1_t0_POS.d	Ketoconazole	80	C2	tech2	WC	P1	t0	1892268	area_is_caffeine	169346	44	0.896762310691778	0
MZ006A_Lansoprazole_8000_C1_tech1_WC_P1_t0_POS.d	Lansoprazole	80	C1	tech1	WC	P1	t0	5694537	area_is_caffeine	209920	44	1.015248552012501	0
MZ006A_Lansoprazole_8000_C1_tech2_WC_P1_t0_POS.d	Lansoprazole	80	C1	tech2	WC	P1	t0	4151634	area_is_caffeine	157783	44	0.9847514479874989	0
MZ006A_Lansoprazole_8000_C2_tech1_WC_P1_t0_POS.d	Lansoprazole	80	C2	tech1	WC	P1	t0	4561409	area_is_caffeine	156626	44	1.0345155643176953	0
MZ006A_Lansoprazole_8000_C2_tech2_WC_P1_t0_POS.d	Lansoprazole	80	C2	tech2	WC	P1	t0	4344282	area_is_caffeine	159836	44	0.9654844356823048	0
MZ006A_Loratadine_8000_C1_tech1_WC_P1_t0_POS.d	Loratadine	80	C1	tech1	WC	P1	t0	2655398	area_is_warfarin	1678100	44	0.964031581441282	0
MZ006A_Loratadine_8000_C1_tech2_WC_P1_t0_POS.d	Loratadine	80	C1	tech2	WC	P1	t0	2908323	area_is_warfarin	1710313	44	1.035968418558718	0
MZ006A_Loratadine_8000_C2_tech1_WC_P1_t0_POS.d	Loratadine	80	C2	tech1	WC	P1	t0	2713624	area_is_warfarin	1443253	44	1.0430306289161508	0
MZ006A_Loratadine_8000_C2_tech2_WC_P1_t0_POS.d	Loratadine	80	C2	tech2	WC	P1	t0	2386701	area_is_warfarin	1383534	44	0.9569693710838492	0
MZ006A_Loxapine_8000_C1_tech1_WC_P1_t0_POS.d	Loxapine	80	C1	tech1	WC	P1	t0	3950507	area_is_caffeine	209837	44	0.8707455714093831	0
MZ006A_Loxapine_8000_C1_tech2_WC_P1_t0_POS.d	Loxapine	80	C1	tech2	WC	P1	t0	4051268	area_is_caffeine	165928	44	1.1292544285906168	0
MZ006A_Loxapine_8000_C2_tech1_WC_P1_t0_POS.d	Loxapine	80	C2	tech1	WC	P1	t0	2091896	area_is_caffeine	158291	44	0.46061371278596114	0
MZ006A_Loxapine_8000_C2_tech2_WC_P1_t0_POS.d	Loxapine	80	C2	tech2	WC	P1	t0	2003381	area_is_caffeine	168393	44	0.4146603527228152	0
MZ006A_Omeprazole_8000_C1_tech1_WC_P1_t0_POS.d	Omeprazole	80	C1	tech1	WC	P1	t0	5384743	area_is_warfarin	2009369	43	1.0277644267106747	0
MZ006A_Omeprazole_8000_C1_tech2_WC_P1_t0_POS.d	Omeprazole	80	C1	tech2	WC	P1	t0	4202845	area_is_warfarin	1657907	43	0.9722355732893252	0
MZ006A_Omeprazole_8000_C2_tech1_WC_P1_t0_POS.d	Omeprazole	80	C2	tech1	WC	P1	t0	3650087	area_is_warfarin	1491309	43	1.0044103054490516	0
MZ006A_Omeprazole_8000_C2_tech2_WC_P1_t0_POS.d	Omeprazole	80	C2	tech2	WC	P1	t0	3391803	area_is_warfarin	1398060	43	0.9955896945509485	0
MZ006A_Aprepitant_3000_C1_tech1_WC_P1_t0_POS	Aprepitant	30	C1	tech1	WC	P1	t0	24771610	area_is_2-amino-cpb	963958	88	1.0264452572053107	0
MZ006A_Aprepitant_3000_C1_tech2_WC_P1_t0_POS	Aprepitant	30	C1	tech2	WC	P1	t0	18148138	area_is_2-amino-cpb	744580	88	0.9735547427946896	0
MZ006A_Aprepitant_3000_C2_tech1_WC_P2_t0_POS	Aprepitant	30	C2	tech1	WC	P2	t0	20908820	area_is_2-amino-cpb	626624	88	1.1187287915521162	0
MZ006A_Aprepitant_3000_C2_tech2_WC_P2_t0_POS	Aprepitant	30	C2	tech2	WC	P2	t0	15969846	area_is_2-amino-cpb	607566	88	0.8812712084478839	0
MZ006A_Aripiprazole_2000_C1_tech1_WC_P1_t0_POS	Aripiprazole	20	C1	tech1	WC	P1	t0	13535871	area_is_sulfamethoxazole	1068536	43	1.149948550036642	0
MZ006A_Aripiprazole_2000_C1_tech2_WC_P1_t0_POS	Aripiprazole	20	C1	tech2	WC	P1	t0	7752827	area_is_sulfamethoxazole	827935	43	0.8500514499633579	0
MZ006A_Aripiprazole_2000_C2_tech1_WC_P2_t0_POS	Aripiprazole	20	C2	tech1	WC	P2	t0	7648910	area_is_sulfamethoxazole	698586	43	1.1757743664078766	0
MZ006A_Aripiprazole_2000_C2_tech2_WC_P2_t0_POS	Aripiprazole	20	C2	tech2	WC	P2	t0	5259562	area_is_sulfamethoxazole	685248	43	0.8242256335921234	0
MZ006A_Clomiphene_2000_C1_tech1_WC_P1_t0_POS	Clomiphene	20	C1	tech1	WC	P1	t0	15501127	area_is_caffeine	315347	42	1.173780312192737	0
MZ006A_Clomiphene_2000_C1_tech2_WC_P1_t0_POS	Clomiphene	20	C1	tech2	WC	P1	t0	9120192	area_is_caffeine	263585	42	0.8262196878072627	0
