strain	supernatant	conc	drug	well	tech_repl	biol_repl	plate_number	experiment_number	AUC	maxOD	finalOD
B. thetaiotaomicron	B. thetaiotaomicron	0	Niclosamide	G7	tech1	biol1	plate2	146	0.9665386725178277	0.9884105960264901	0.9884105960264901
B. thetaiotaomicron	B. thetaiotaomicron	0	Niclosamide	G7	tech1	biol2	plate2	148	0.9665773844183068	0.9789644012944984	0.9789644012944984
B. thetaiotaomicron	B. thetaiotaomicron	0	Niclosamide	G7	tech1	biol3	plate2	149	0.9716650175407034	0.9973661106233539	0.9973661106233539
B. thetaiotaomicron	B. thetaiotaomicron	0	Niclosamide	H7	tech2	biol1	plate2	146	1.0334613274821722	0.9917218543046358	0.9917218543046358
B. thetaiotaomicron	B. thetaiotaomicron	0	Niclosamide	H7	tech2	biol2	plate2	148	1.0334226155816932	0.9919093851132686	0.9919093851132686
B. thetaiotaomicron	B. thetaiotaomicron	0	Niclosamide	H7	tech2	biol3	plate2	149	1.0283349824592967	0.9973661106233539	0.9920983318700616
B. thetaiotaomicron	B. thetaiotaomicron	5	Niclosamide	G8	tech1	biol1	plate2	146	0.0026330224904004412	-0.0033112582781456984	-0.006622516556291397
B. thetaiotaomicron	B. thetaiotaomicron	5	Niclosamide	G8	tech1	biol2	plate2	148	0.0039594736229183695	-0.00485436893203884	-0.00970873786407768
B. thetaiotaomicron	B. thetaiotaomicron	5	Niclosamide	G8	tech1	biol3	plate2	149	0.006836376720338228	-0.005267778753292368	-0.015803336259877104
B. thetaiotaomicron	B. thetaiotaomicron	5	Niclosamide	H8	tech2	biol1	plate2	146	0.0024136039495337375	-0.0016556291390728492	-0.006622516556291397
B. thetaiotaomicron	B. thetaiotaomicron	5	Niclosamide	H8	tech2	biol2	plate2	148	0.003493653196692677	-0.0016181229773462797	-0.006472491909385119
B. thetaiotaomicron	B. thetaiotaomicron	5	Niclosamide	H8	tech2	biol3	plate2	149	0.004677520913915628	-0.005267778753292368	-0.01229148375768219
B. thetaiotaomicron	B. thetaiotaomicron	10	Niclosamide	G9	tech1	biol1	plate2	146	0.007460230389467916	0.0016556291390728492	-0.004966887417218548
B. thetaiotaomicron	B. thetaiotaomicron	10	Niclosamide	G9	tech1	biol2	plate2	148	0.007686037032723894	-0.0032362459546925594	-0.0080906148867314
B. thetaiotaomicron	B. thetaiotaomicron	10	Niclosamide	G9	tech1	biol3	plate2	149	0.0032382837096338966	-0.0017559262510974559	-0.008779631255487278
B. thetaiotaomicron	B. thetaiotaomicron	10	Niclosamide	H9	tech2	biol1	plate2	146	0.007899067471201324	0.0016556291390728492	-0.004966887417218548
B. thetaiotaomicron	B. thetaiotaomicron	10	Niclosamide	H9	tech2	biol2	plate2	148	0.004891114475369749	-0.0080906148867314	-0.012944983818770238
B. thetaiotaomicron	B. thetaiotaomicron	10	Niclosamide	H9	tech2	biol3	plate2	149	0.00521723486552128	-0.008779631255487278	-0.014047410008779647
B. thetaiotaomicron	C. aerofaciens	0	Niclosamide	G4	tech1	biol1	plate2	146	0.9874734607218684	1.0082781456953642	1.0082781456953642
B. thetaiotaomicron	C. aerofaciens	0	Niclosamide	G4	tech1	biol2	plate2	148	0.971645844649647	1.0080906148867315	1.0080906148867315
B. thetaiotaomicron	C. aerofaciens	0	Niclosamide	G4	tech1	biol3	plate2	149	0.9900973338975877	1.0430201931518877	1.032484635645303
B. thetaiotaomicron	C. aerofaciens	0	Niclosamide	H4	tech2	biol1	plate2	146	1.0125265392781315	1.01158940397351	1.01158940397351
B. thetaiotaomicron	C. aerofaciens	0	Niclosamide	H4	tech2	biol2	plate2	148	1.028354155350353	1.0161812297734627	1.0161812297734627
B. thetaiotaomicron	C. aerofaciens	0	Niclosamide	H4	tech2	biol3	plate2	149	1.0099026661024122	1.013169446883231	1.0026338893766462
B. thetaiotaomicron	C. aerofaciens	5	Niclosamide	G5	tech1	biol1	plate2	146	0.8006369426751592	0.9917218543046358	0.9917218543046358
B. thetaiotaomicron	C. aerofaciens	5	Niclosamide	G5	tech1	biol2	plate2	148	0.5486148832156436	0.8915857605177995	0.8915857605177995
B. thetaiotaomicron	C. aerofaciens	5	Niclosamide	G5	tech1	biol3	plate2	149	0.0047397376216673755	-0.0017559262510974559	-0.01229148375768219
B. thetaiotaomicron	C. aerofaciens	5	Niclosamide	H5	tech2	biol1	plate2	146	0.856687898089172	0.9966887417218543	0.9966887417218543
B. thetaiotaomicron	C. aerofaciens	5	Niclosamide	H5	tech2	biol2	plate2	148	0.6407387289516566	0.9449838187702265	0.9449838187702265
B. thetaiotaomicron	C. aerofaciens	5	Niclosamide	H5	tech2	biol3	plate2	149	0.00677105374523911	-0.008779631255487278	-0.015803336259877104
B. thetaiotaomicron	C. aerofaciens	10	Niclosamide	G6	tech1	biol1	plate2	146	0.004883227176220811	0.006622516556291397	0.006622516556291397
B. thetaiotaomicron	C. aerofaciens	10	Niclosamide	G6	tech1	biol2	plate2	148	0.006735469853340583	-0.0032362459546925594	-0.0080906148867314
B. thetaiotaomicron	C. aerofaciens	10	Niclosamide	G6	tech1	biol3	plate2	149	0.006263224714346174	-0.005267778753292368	-0.01229148375768219
B. thetaiotaomicron	C. aerofaciens	10	Niclosamide	H6	tech2	biol1	plate2	146	0.005095541401273889	0.013245033112582794	0.013245033112582794
B. thetaiotaomicron	C. aerofaciens	10	Niclosamide	H6	tech2	biol2	plate2	148	0.0036936447582835456	-0.0032362459546925594	-0.0080906148867314
B. thetaiotaomicron	C. aerofaciens	10	Niclosamide	H6	tech2	biol3	plate2	149	0.004739737621667377	-0.0035118525021949117	-0.014047410008779647
