strain	drug	conc	fConc	AUC	normAUCmon	vector
5001pSG62#4	Niclosamide	0	0	1.0000000000000002	1.0000000000000002	Ri C7GA87
5001pSG62#4	Nifurtimox	0	0	1	1	Ri C7GA87
5001pSG67#1	Niclosamide	0	0	1	1	Pv2039
5001pSG67#2	Nifurtimox	0	0	1	1	Pv2039
5001pSG68#1	Nifurtimox	0	0	1	1	Pv0975
5001pSG68#4	Niclosamide	0	0	1	1	Pv0975
5001pSG69#1	Niclosamide	0	0	1	1	Pv1605
5001pSG69#2	Nifurtimox	0	0	1	1	Pv1605
5001pSG70#1	Niclosamide	0	0	1	1	Pv2535
5001pSG70#2	Nifurtimox	0	0	0.9999999999999999	0.9999999999999999	Pv2535
5001pSG71#1	Nifurtimox	0	0	1	1	Pv2494
5001pSG71#2	Niclosamide	0	0	1	1	Pv2494
5001pSG72#1	Niclosamide	0	0	0.9999999999999999	0.9999999999999999	Pv0002
5001pSG72#4	Nifurtimox	0	0	1	1	Pv0002
5001pSG73#3	Niclosamide	0	0	1	1	Pv1973
5001pSG73#3	Nifurtimox	0	0	1	1	Pv1973
5001pSG75#2	Niclosamide	0	0	1	1	Ri C7GB41
5001pSG75#2	Nifurtimox	0	0	1	1	Ri C7GB41
5001pww3864	Nifurtimox	0	0	1	1	empty plasmid
5001pww3864#1	Niclosamide	0	0	1	1	empty plasmid
5001pSG62#4	Niclosamide	0.08	0.08	0.9844900456074233	0.9844900456074233	Ri C7GA87
5001pSG62#4	Nifurtimox	0.08	0.08	0.9666089344743811	0.9666089344743811	Ri C7GA87
5001pSG67#1	Niclosamide	0.08	0.08	0.9486850545221297	0.9486850545221297	Pv2039
5001pSG67#2	Nifurtimox	0.08	0.08	0.9754972755899625	0.9754972755899625	Pv2039
5001pSG68#1	Nifurtimox	0.08	0.08	0.981445467226897	0.981445467226897	Pv0975
5001pSG68#4	Niclosamide	0.08	0.08	0.9447236180904524	0.9447236180904524	Pv0975
5001pSG69#1	Niclosamide	0.08	0.08	0.9397661977412322	0.9397661977412322	Pv1605
5001pSG69#2	Nifurtimox	0.08	0.08	0.9631812812143374	0.9631812812143374	Pv1605
5001pSG70#1	Niclosamide	0.08	0.08	0.9414153846153848	0.9414153846153848	Pv2535
5001pSG70#2	Nifurtimox	0.08	0.08	0.9512781894234414	0.9512781894234414	Pv2535
5001pSG71#1	Nifurtimox	0.08	0.08	0.9813310832586136	0.9813310832586136	Pv2494
5001pSG71#2	Niclosamide	0.08	0.08	0.9782644089873005	0.9782644089873005	Pv2494
5001pSG72#1	Niclosamide	0.08	0.08	0.9784346252450611	0.9784346252450611	Pv0002
