flavor	species	run	tech_repl	hit	category	result	expected	n	n_total	fraction	n_repl
absolute	Bacteroides fragilis	LM1844	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	38	39	0.9743589743589743	6
absolute	Bacteroides fragilis	LM1844	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	1	39	0.02564102564102564	6
absolute	Bacteroides fragilis	LM1844	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	23	47	0.48936170212765956	6
absolute	Bacteroides fragilis	LM1844	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	24	47	0.5106382978723404	6
absolute	Bacteroides fragilis	LM1844	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	37	39	0.9487179487179487	6
absolute	Bacteroides fragilis	LM1844	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	2	39	0.05128205128205128	6
absolute	Bacteroides fragilis	LM1844	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	21	45	0.4666666666666667	6
absolute	Bacteroides fragilis	LM1844	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	24	45	0.5333333333333333	6
absolute	Bacteroides fragilis	LM1847	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	38	39	0.9743589743589743	6
absolute	Bacteroides fragilis	LM1847	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	1	39	0.02564102564102564	6
absolute	Bacteroides fragilis	LM1847	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	23	48	0.4791666666666667	6
absolute	Bacteroides fragilis	LM1847	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	25	48	0.5208333333333334	6
absolute	Bacteroides fragilis	LM1847	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	38	39	0.9743589743589743	6
absolute	Bacteroides fragilis	LM1847	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	1	39	0.02564102564102564	6
absolute	Bacteroides fragilis	LM1847	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	25	48	0.5208333333333334	6
absolute	Bacteroides fragilis	LM1847	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	23	48	0.4791666666666667	6
absolute	Bacteroides fragilis	LM1857	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	36	38	0.9473684210526315	6
absolute	Bacteroides fragilis	LM1857	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	2	38	0.05263157894736842	6
absolute	Bacteroides fragilis	LM1857	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	22	48	0.4583333333333333	6
absolute	Bacteroides fragilis	LM1857	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	26	48	0.5416666666666666	6
absolute	Bacteroides fragilis	LM1857	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	36	38	0.9473684210526315	6
absolute	Bacteroides fragilis	LM1857	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	2	38	0.05263157894736842	6
absolute	Bacteroides fragilis	LM1857	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	23	47	0.48936170212765956	6
absolute	Bacteroides fragilis	LM1857	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	24	47	0.5106382978723404	6
absolute	Bacteroides thetaiotaomicron	LM1844	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	49	49	1	6
absolute	Bacteroides thetaiotaomicron	LM1844	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	14	37	0.3783783783783784	6
