Condition	Time	Sample_name	Integrated_Filename
mGAM_ctrl	5	SD002Q_ZB_C18_Nic_P1_MGAM_T5_biol1_tech1_E2.d	SD002Q_ZB_C18_Nic_P1_MGAM_T5_biol1_tech1_E2
mGAM_ctrl	5	SD002Q_ZB_C18_Nic_P1_MGAM_T5_biol1_tech2_F2.d	SD002Q_ZB_C18_Nic_P1_MGAM_T5_biol1_tech2_F2
mGAM_ctrl	5	SD002Q_ZB_C18_Nic_P1_MGAM_T5_biol3_tech1_G2.d	SD002Q_ZB_C18_Nic_P1_MGAM_T5_biol3_tech1_G2
mGAM_ctrl	5	SD002Q_ZB_C18_Nic_P1_MGAM_T5_biol3_tech2_H2.d	SD002Q_ZB_C18_Nic_P1_MGAM_T5_biol3_tech2_H2
mGAM_ctrl	5	SD002Q_ZB_C18_Nic_P1_MGAM_T5_biol2_tech1_A3.d	SD002Q_ZB_C18_Nic_P1_MGAM_T5_biol2_tech1_A3
mGAM_ctrl	5	SD002Q_ZB_C18_Nic_P1_MGAM_T5_biol2_tech2_B3.d	SD002Q_ZB_C18_Nic_P1_MGAM_T5_biol2_tech2_B3
culture_and_supernatant	5	SD002Q_ZB_C18_Nic_P1_mix_T5_biol1_tech1_C6.d	SD002Q_ZB_C18_Nic_P1_mix_T5_biol1_tech1_C6
culture_and_supernatant	5	SD002Q_ZB_C18_Nic_P1_mix_T5_biol1_tech2_D6.d	SD002Q_ZB_C18_Nic_P1_mix_T5_biol1_tech2_D6
culture_and_supernatant	5	SD002Q_ZB_C18_Nic_P1_mix_T5_biol1_tech3_E6.d	SD002Q_ZB_C18_Nic_P1_mix_T5_biol1_tech3_E6
culture_and_supernatant	5	SD002Q_ZB_C18_Nic_P1_mix_T5_biol2_tech1_F6.d	SD002Q_ZB_C18_Nic_P1_mix_T5_biol2_tech1_F6
culture_and_supernatant	5	SD002Q_ZB_C18_Nic_P1_mix_T5_biol2_tech2_G6.d	SD002Q_ZB_C18_Nic_P1_mix_T5_biol2_tech2_G6
culture_and_supernatant	5	SD002Q_ZB_C18_Nic_P1_mix_T5_biol2_tech3_H6.d	SD002Q_ZB_C18_Nic_P1_mix_T5_biol2_tech3_H6
culture_and_supernatant	5	SD002Q_ZB_C18_Nic_P1_mix_T5_biol3_tech1_A7.d	SD002Q_ZB_C18_Nic_P1_mix_T5_biol3_tech1_A7
culture_and_supernatant	5	SD002Q_ZB_C18_Nic_P1_mix_T5_biol3_tech2_B7.d	SD002Q_ZB_C18_Nic_P1_mix_T5_biol3_tech2_B7
culture_and_supernatant	5	SD002Q_ZB_C18_Nic_P1_mix_T5_biol3_tech3_C7.d	SD002Q_ZB_C18_Nic_P1_mix_T5_biol3_tech3_C7
supernatant	5	SD002Q_ZB_C18_Nic_P1_SN_T5_biol1_tech1_F9.d	SD002Q_ZB_C18_Nic_P1_SN_T5_biol1_tech1_F9
supernatant	5	SD002Q_ZB_C18_Nic_P1_SN_T5_biol1_tech2_G9.d	SD002Q_ZB_C18_Nic_P1_SN_T5_biol1_tech2_G9
supernatant	5	SD002Q_ZB_C18_Nic_P1_SN_T5_biol1_tech3_H9.d	SD002Q_ZB_C18_Nic_P1_SN_T5_biol1_tech3_H9
supernatant	5	SD002Q_ZB_C18_Nic_P1_SN_T5_biol2_tech1_A10.d	SD002Q_ZB_C18_Nic_P1_SN_T5_biol2_tech1_A10
supernatant	5	SD002Q_ZB_C18_Nic_P1_SN_T5_biol2_tech2_B10.d	SD002Q_ZB_C18_Nic_P1_SN_T5_biol2_tech2_B10
supernatant	5	SD002Q_ZB_C18_Nic_P1_SN_T5_biol2_tech3_C10.d	SD002Q_ZB_C18_Nic_P1_SN_T5_biol2_tech3_C10
supernatant	5	SD002Q_ZB_C18_Nic_P1_SN_T5_biol3_tech1_D10.d	SD002Q_ZB_C18_Nic_P1_SN_T5_biol3_tech1_D10
supernatant	5	SD002Q_ZB_C18_Nic_P1_SN_T5_biol3_tech2_E10.d	SD002Q_ZB_C18_Nic_P1_SN_T5_biol3_tech2_E10
supernatant	5	SD002Q_ZB_C18_Nic_P1_SN_T5_biol3_tech3_F10.d	SD002Q_ZB_C18_Nic_P1_SN_T5_biol3_tech3_F10
